Citation,Manner,Cleaned_Citation
العفو، والتّسامح يأتيان في لحظة قدرتك على الانتقام، فعندها تكون قادراً لكنّ قلبك أنقى من أن ينتقم.,Blameworthy Moral: ٱِنْتِقام,"['العفو', 'التسامح', 'يأتيان', 'لحظة', 'قدرتك', 'الانتقام', 'فعندها', 'تكون', 'قادرا', 'قلبك', 'أنقى', 'ينتقم']"
الشّخص المتسامح ليس له أعداء.,Sentiment: positive,"['الشخص', 'المتسامح', 'أعداا']"
التسامح طريقنا إلى جنّة الدنيا قبل جنّة الآخرة.,Sentiment: positive,"['التسامح', 'طريقنا', 'جنة', 'الدنيا', 'جنة', 'الآخرة']"
الضّعيف لا يمكنه الغفران، فالتّسامح شيمة الأقوياء.,Sentiment: positive,"['الضعيف', 'يمكنه', 'الغفران', 'فالتسامح', 'شيمة', 'الأقوياا']"
ربُّوا أنفسكم على التسامح، فمن يزرع زهراً يحصد أجمل العبير.,Sentiment: positive,"['ربوا', 'أنفسكم', 'التسامح', 'يزرع', 'زهرا', 'يحصد', 'أجمل', 'العبير']"
التّسامح جزء من العدالة.,Sentiment: positive,"['التسامح', 'جزا', 'العدالة']"
أشرف الثّأر العفو.,Sentiment: positive,"['أشرف', 'الثأر', 'العفو']"
التّسامح زينة الفضائل.,Sentiment: positive,"['التسامح', 'زينة', 'الفضائل']"
إنّنا نظهر تسامحاً كبيراً مع الأشخاص الذين نريد مسامحتهم حتّى وإن كانت أخطاؤهم عظيمة، ونركّز على كلّ خطأ، وإن كان صغيراً مع الأشخاص الذين لا نريد مسامحتهم، إنّ التسامح مرتبط بشدة بمشاعرنا وإرادتنا.,Sentiment: positive,"['إننا', 'نظهر', 'تسامحا', 'كبيرا', 'الأشخاص', 'نريد', 'مسامحتهم', 'كانت', 'أخطااهم', 'عظيمة', 'نركز', 'خطأ', 'صغيرا', 'الأشخاص', 'نريد', 'مسامحتهم', 'التسامح', 'مرتبط', 'بشدة', 'بمشاعرنا', 'إرادتنا']"
التّسامح هو الذي يمنح للصواب قوّته، وقدرته على الامتداد، وتحقيق النصر.,Sentiment: positive,"['التسامح', 'يمنح', 'للصواب', 'قوته', 'قدرته', 'الامتداد', 'تحقيق', 'النصر']"
إنّ التسامح خلقٌ إن امتلكناه امتلكنا جميع الأخلاق، وذلك لأنّ التسامح هو الذي يعفو عن غضبك، وهو الذي ينسي الشخص عيوبك، وهو الذي يجعلك محبوباً عند الآخرين.,Blameworthy Moral: ذُلّ,"['التسامح', 'خلق', 'امتلكناه', 'امتلكنا', 'الأخلاق', 'لأن', 'التسامح', 'يعفو', 'غضبك', 'ينسي', 'الشخص', 'عيوبك', 'يجعلك', 'محبوبا', 'الآخرين']"
عندما تُسامح فإنّك تتنازل عن غضبك للآخرين.,Blameworthy Moral: غَضَب,"['عندما', 'تسامح', 'فإنك', 'تتنازل', 'غضبك', 'للآخرين']"
أعقل الناس أعذرهم للناس.,Sentiment: negative,"['أعقل', 'الناس', 'أعذرهم', 'للناس']"
النّفوس الكبيرة وحدها تعرف كيف تسامح.,Sentiment: positive,"['النفوس', 'الكبيرة', 'حدها', 'تعرف', 'تسامح']"
التّسامح ينقّي قلوبنا إلى حدٍ لا يمكن لشيءٍ أن ينقّّيه مثله.,Sentiment: positive,"['التسامح', 'ينقي', 'قلوبنا', 'حد', 'يمكن', 'لشيا', 'ينقيه', 'مثله']"
من لا يستطيع التّسامح يهدم الجسر الذي يجب أن يعبره هو نفسه.,Sentiment: negative,"['يستطيع', 'التسامح', 'يهدم', 'الجسر', 'يجب', 'يعبره', 'نفسه']"
من دون التّسامح لن يكون هنالك مستقبل.,Sentiment: negative,"['التسامح', 'يكون', 'مستقبل']"
التّسامح هو العطر الذي تطبعه زهرة البنفسج على القدم التي سحقتها.,Sentiment: positive,"['التسامح', 'العطر', 'تطبعه', 'زهرة', 'البنفسج', 'القدم', 'سحقتها']"
التّسامح هو أن تمنح الكراهيّة بداخلك غرفة صغيرة جداً في قلبك.,Sentiment: positive,"['التسامح', 'تمنح', 'الكراهية', 'بداخلك', 'غرفة', 'صغيرة', 'جدا', 'قلبك']"
إنّ التسامح هو الوحيد القادر على إدامة العلاقات بين الأشخاص، فإذا رأيت شخصين يحبّان بعضهما بشدة، فلا يعني ذلك أنهما لا يخطئان، ولكنّه يعني أنّ بينهما تسامحاً عظيماً طغى على أخطائهما.,Blameworthy Moral: ذُلّ,"['التسامح', 'الوحيد', 'القادر', 'إدامة', 'العلاقات', 'الأشخاص', 'رأيت', 'شخصين', 'يحبان', 'بعضهما', 'بشدة', 'يعني', 'أنهما', 'يخطئان', 'لكنه', 'يعني', 'بينهما', 'تسامحا', 'عظيما', 'طغى', 'أخطائهما']"
أفضل نتيجة من التّربية هو التسامح.,Sentiment: positive,"['أفضل', 'نتيجة', 'التربية', 'التسامح']"
التسامح يعني أن تمنح لنفسك الفرصة لكي تبدأ بداية جديدة.,Sentiment: positive,"['التسامح', 'يعني', 'تمنح', 'لنفسك', 'الفرصة', 'تبدأ', 'بداية', 'جديدة']"
التسامح، والرّحمة من صفات الواثقين بأنفسهم، والذين لا يعرفون الخوف.,Good Moral: رَحْم,"['التسامح', 'الرحمة', 'صفات', 'الواثقين', 'بأنفسهم', 'يعرفون', 'الخوف']"
التسامح هو شكل آخر من أشكال الحب.,Sentiment: positive,"['التسامح', 'شكل', 'آخر', 'أشكال', 'الحب']"
من عاشر الناس بالمسامحة، زاد استمتاعه بهم.,Sentiment: positive,"['الناس', 'بالمسامحة', 'زاد', 'استمتاعه']"
التّسامح هو أن ترى نور الله في كلّ من حولك مهما يكن سلوكهم معك، وهو أقوى علاج على الإطلاق.,Sentiment: positive,"['التسامح', 'ترى', 'نور', 'الله', 'حولك', 'يكن', 'سلوكهم', 'معك', 'أقوى', 'علاج', 'الإطلاق']"
تحتاج دائماً إلى مسامحة نفسك، فأنت مكلّف بحمايتها من الأذى، وهي الأمانة التي أشفق منها جميع المخلوقات، وتكرّم بحملها الإنسان.,Good Moral: الأمانة,"['تحتاج', 'دائما', 'مسامحة', 'نفسك', 'فأنت', 'مكلف', 'بحمايتها', 'الأذى', 'الأمانة', 'أشفق', 'المخلوقات', 'تكرم', 'بحملها', 'الإنسان']"
قم بوأد الحقد، والكُره، في داخلك ليعمّ التسامح بين الناس.,Blameworthy Moral: الحقد,"['قم', 'بوأد', 'الحقد', 'الكره', 'داخلك', 'ليعم', 'التسامح', 'الناس']"
التّسامح مع نفسك أولاً، ومن ثمّ التّسامح مع من أخطؤوا في حقّك هي أول خطوات تخطّي الحزن بداخلك.,Sentiment: neutral,"['التسامح', 'نفسك', 'أولا', 'التسامح', 'أخطاوا', 'حقك', 'خطوات', 'تخطي', 'الحزن', 'بداخلك']"
ولتدرّب قلبك على التسامح، تعوّد على الابتسام، وكن متفهماً، وذا صدر واسع.,Sentiment: positive,"['لتدرب', 'قلبك', 'التسامح', 'تعود', 'الابتسام', 'متفهما', 'صدر', 'اسع']"
وفي الشّعور بالتّسامح قيمة عُليا تجعل من صاحبها متفرداًً يحتمي به الجميع، ويُلجأ إليه في أوقات كثيرة.,Sentiment: positive,"['الشعور', 'بالتسامح', 'قيمة', 'عليا', 'تجعل', 'صاحبها', 'متفردا', 'يحتمي', 'الجميع', 'يلجأ', 'إليه', 'أوقات', 'كثيرة']"
التسامح طاقة إيجابية يمنحها الله لعباده المصطفين فينير به عقولهم، ووجوههم.,Sentiment: positive,"['التسامح', 'طاقة', 'إيجابية', 'يمنحها', 'الله', 'لعباده', 'المصطفين', 'فينير', 'عقولهم', 'وجوههم']"
يعني تسامحك مع أخطائك أن تعترف لنفسك أولاً بالتّقصير، ثمّ لمن أصابهم هذا التقصير، ففي ذلك علو شأن، وراحة ضمير، ودفعة بك إلى الأمام.,Blameworthy Moral: ذُلّ,"['يعني', 'تسامحك', 'أخطائك', 'تعترف', 'لنفسك', 'أولا', 'بالتقصير', 'أصابهم', 'التقصير', 'ففي', 'علو', 'شأن', 'راحة', 'ضمير', 'دفعة', 'الأمام']"
تذكّر بأنّنا لسنا خالدين في هذه الدّنيا، وإنّما راحلون، فسامح ولا تُكنّ الضغينة إلى أحد.,Sentiment: negative,"['تذكر', 'بأننا', 'خالدين', 'الدنيا', 'راحلون', 'فسامح', 'تكن', 'الضغينة']"
الشجعان لا يخشون التسامح من أجل السلام.,Sentiment: positive,"['الشجعان', 'يخشون', 'التسامح', 'السلام']"
التّسامح قوة جبّارة، وخاصّة عندما تكون عند المقدرة .,Sentiment: positive,"['التسامح', 'قوة', 'جبارة', 'عندما', 'تكون', 'المقدرة']"
القدرة على المسامحة تتطلب إرادة كبيرة، وقوّة شخصية.,Sentiment: positive,"['القدرة', 'المسامحة', 'تتطلب', 'إرادة', 'كبيرة', 'قوة', 'شخصية']"
التسامح من أنبل الصّفات التي يتملكها الإنسان، وهي من شيم الأنبياء.,Sentiment: positive,"['التسامح', 'أنبل', 'الصفات', 'يتملكها', 'الإنسان', 'شيم', 'الأنبياا']"
الزوجة الجيدّة هي التي دوما ما تسامح زوجها، عندما تكون هي المخطئة.,Sentiment: positive,"['الزوجة', 'الجيدة', 'دوما', 'تسامح', 'زوجها', 'عندما', 'تكون', 'المخطئة']"
التّسامح من شيم الأوفياء.,Sentiment: positive,"['التسامح', 'شيم', 'الأوفياا']"
كم هي راقيَة تِلك القُلوب المُتسامِحة الّتي تمّحي أثر إساءة الآخرين لها ليْس ضعفا وإنّما إيماناً منها بأنّ نقاء قلوبها أصفى من أن يدنّس في رغبة بانتقام، أو حقد، أو كراهية، وبأنّ السلام الداخلي هو أهم ما يمكن أن يسعى المرء للحصول عليه في هذه الدنيا الفانية، يؤمنون بذلك، فتتّسع صدورهم، وتنير ملامحهم، وتحلّق أرواحهم حرّة كالنوارس، وتنطلق برفق لتعانق بياض الغيمات، وتهطل مطراً عذباً يطفئ شقاء الأرواح.,Blameworthy Moral: ٱِنْتِقام,"['راقية', 'القلوب', 'المتسامحة', 'تمحي', 'أثر', 'إسااة', 'الآخرين', 'ضعفا', 'إيمانا', 'بأن', 'نقاا', 'قلوبها', 'أصفى', 'يدنس', 'رغبة', 'بانتقام', 'حقد', 'كراهية', 'بأن', 'السلام', 'الداخلي', 'أهم', 'يمكن', 'يسعى', 'المرا', 'للحصول', 'الدنيا', 'الفانية', 'يامنون', 'بذلك', 'فتتسع', 'صدورهم', 'تنير', 'ملامحهم', 'تحلق', 'أرواحهم', 'حرة', 'كالنوارس', 'تنطلق', 'برفق', 'لتعانق', 'بياض', 'الغيمات', 'تهطل', 'مطرا', 'عذبا', 'يطفئ', 'شقاا', 'الأرواح']"
يُثبت المتسامحون عند عفوهم عن الآخرين إنساينيّتهم التي حافظوا عليها في دنيا فقد الكثير فيها إنسانيتهم، فالتسامح معركة ذات طويلة تتجاذب فيها النفس البشريّة الإنسان تجاذباً شديداً ما بين نزعة دفينة بالاقتصاص، والانتقام، والحقد، ورغبة ملائكية بالصفح، والعفو، والتسامح، فطوبى لمن يغلب خيره شرّه حينها، وترجح كفّة عفوه على كفّة حقده، وهنيئاً له على ما سيلقاه من راحة في الفؤاد، وانشراح في الصدر، وأجر عند الربّ، وأثر طيّب في دروب حياته على اختلافها، فالتسامح كبذر الزهر الذي لا بدّ أن ينبت يوماً ليزيّن طريق صاحبه، وينثر فيه أجمل العطور.,Blameworthy Moral: الحقد,"['يثبت', 'المتسامحون', 'عفوهم', 'الآخرين', 'إنساينيتهم', 'حافظوا', 'عليها', 'دنيا', 'فقد', 'الكثير', 'إنسانيتهم', 'فالتسامح', 'معركة', 'طويلة', 'تتجاذب', 'النفس', 'البشرية', 'الإنسان', 'تجاذبا', 'شديدا', 'نزعة', 'دفينة', 'بالاقتصاص', 'الانتقام', 'الحقد', 'رغبة', 'ملائكية', 'بالصفح', 'العفو', 'التسامح', 'فطوبى', 'يغلب', 'خيره', 'شره', 'حينها', 'ترجح', 'كفة', 'عفوه', 'كفة', 'حقده', 'هنيئا', 'سيلقاه', 'راحة', 'الفااد', 'انشراح', 'الصدر', 'أجر', 'الرب', 'أثر', 'طيب', 'دروب', 'حياته', 'اختلافها', 'فالتسامح', 'كبذر', 'الزهر', 'بد', 'ينبت', 'يوما', 'ليزين', 'طريق', 'صاحبه', 'ينثر', 'أجمل', 'العطور']"
الظلم هو أسرع الطرق إلى تبديل النعم إلى نقم.,Blameworthy Moral: ظُلْم,"['الظلم', 'أسرع', 'الطرق', 'تبديل', 'النعم', 'نقم']"
الظلم سلاح لا يدري حامله أنّه سيقتله يوماً.,Blameworthy Moral: ظُلْم,"['الظلم', 'سلاح', 'يدري', 'حامله', 'أنه', 'سيقتله', 'يوما']"
بين الظلم الظاهر والعدل الحقيقي خيط رفيع لا يراه إلّا أصحاب القلوب المُنيرة.,Blameworthy Moral: ظُلْم,"['الظلم', 'الظاهر', 'العدل', 'الحقيقي', 'خيط', 'رفيع', 'يراه', 'أصحاب', 'القلوب', 'المنيرة']"
من أشّد أنواع الظلم أن يلعب الظالم دور الضحيّة، ويُتّهم المظلوم بأنّه ظالم.,Blameworthy Moral: ظُلْم,"['أشد', 'أنواع', 'الظلم', 'يلعب', 'الظالم', 'دور', 'الضحية', 'يتهم', 'المظلوم', 'بأنه', 'ظالم']"
مَن أبكى أحداً ظلماً سيبكيه الله قهراً، ومن سقى قلباً السوء سيسقيه الله مرّاً.,Blameworthy Moral: ظُلْم,"['أبكى', 'أحدا', 'ظلما', 'سيبكيه', 'الله', 'قهرا', 'قلبا', 'السوا', 'سيسقيه', 'الله', 'مرا']"
الحياة تدور، وسيصاب كلّ ظالم بما ظلم، كل شامت بما شمت به، وكلّ مسيء بما أساء.,Blameworthy Moral: ظُلْم,"['الحياة', 'تدور', 'سيصاب', 'ظالم', 'ظلم', 'شامت', 'شمت', 'مسيا', 'أساا']"
والظلم يوم القيامة ظلمات.,Blameworthy Moral: ظُلْم,"['الظلم', 'يوم', 'القيامة', 'ظلمات']"
الظلم دوامة سوداء لا نهاية لها، لا بدّ أن تسحب الظالم يوماً إلى قرارها ثمّ تهلكه.,Blameworthy Moral: ظُلْم,"['الظلم', 'دوامة', 'سوداا', 'نهاية', 'بد', 'تسحب', 'الظالم', 'يوما', 'قرارها', 'تهلكه']"
لقد كان فينا الظلم فوضى، فهُذّبت حواشيه حتى أصبح ظلماً منظماً.,Blameworthy Moral: ظُلْم,"['لقد', 'فينا', 'الظلم', 'فوضى', 'فهذبت', 'حواشيه', 'ظلما', 'منظما']"
سيُرى الظلم مترنحاً لأنه في سبيله إلى التخاذل والتهاوي عاجلاً أم آجلاً.,Blameworthy Moral: ظُلْم,"['سيرى', 'الظلم', 'مترنحا', 'لأنه', 'سبيله', 'التخاذل', 'التهاوي', 'عاجلا', 'آجلا']"
اعتماد المظلوم على وعود الظالم بالكلام ، اقتل له من المدفع والحسام.,Sentiment: negative,"['اعتماد', 'المظلوم', 'عود', 'الظالم', 'بالكلام', 'اقتل', 'المدفع', 'الحسام']"
ربّما بالظلم تستطيع أن تملك ما تريد، لكنّ دعوة مظلوم واحدة كفيلة بأن تفقدك كل ما ملكت.,Blameworthy Moral: ظُلْم,"['ربما', 'بالظلم', 'تستطيع', 'تملك', 'تريد', 'دعوة', 'مظلوم', 'احدة', 'كفيلة', 'بأن', 'تفقدك', 'ملكت']"
الظلم يسلب كلاً من الظالم والمظلوم حريته.,Blameworthy Moral: ظُلْم,"['الظلم', 'يسلب', 'الظالم', 'المظلوم', 'حريته']"
من يرتكب الظلم سيصبح يوماً أكثر تعاسة من المظلوم.,Blameworthy Moral: ظُلْم,"['يرتكب', 'الظلم', 'سيصبح', 'يوما', 'تعاسة', 'المظلوم']"
من تلمّس الظلم ومسّه يوماً، الأولى به ألّا يمارسه على أحد.,Blameworthy Moral: ظُلْم,"['تلمس', 'الظلم', 'مسه', 'يوما', 'الأولى', 'يمارسه']"
شيئان لم تسلم عاقبتهما: الظلم والشر.,Blameworthy Moral: ظُلْم,"['شيئان', 'تسلم', 'عاقبتهما', 'الظلم', 'الشر']"
قد يكون الظلم أكبر، ولكنّ العدل أبقى.,Blameworthy Moral: ظُلْم,"['يكون', 'الظلم', 'أكبر', 'العدل', 'أبقى']"
دموع المظلومين طوفان سيُسلّط يوماً على الظالمين حتى يغرقهم.,Sentiment: negative,"['دموع', 'المظلومين', 'طوفان', 'سيسلط', 'يوما', 'الظالمين', 'يغرقهم']"
أكبر شر عدا الظلم هو أن لا يدفع الظالم ثمن ظلمه.,Blameworthy Moral: ظُلْم,"['أكبر', 'شر', 'الظلم', 'يدفع', 'الظالم', 'ثمن', 'ظلمه']"
عندما يلبس الظلم رداء التقوى تولد أكبر فاجعة.,Blameworthy Moral: ظُلْم,"['عندما', 'يلبس', 'الظلم', 'رداا', 'التقوى', 'تولد', 'أكبر', 'فاجعة']"
مَن زرع الظلم حصد الخسران.,Blameworthy Moral: ظُلْم,"['زرع', 'الظلم', 'حصد', 'الخسران']"
إذا كنت محايداً في حالات الظلم فقد اخترت أن تكون بجانب الظالم.,Blameworthy Moral: ظُلْم,"['كنت', 'محايدا', 'حالات', 'الظلم', 'فقد', 'اخترت', 'تكون', 'بجانب', 'الظالم']"
ليس إنساناً من يرى ظلم أخيه الإنسان بعينيه ولا يشعر بالإهانة.,Blameworthy Moral: ظُلْم,"['إنسانا', 'يرى', 'ظلم', 'أخيه', 'الإنسان', 'بعينيه', 'يشعر', 'بالإهانة']"
عمر الظلم وإن طال ساعة، وعدل الله باقٍ إلى قيام الساعة.,Blameworthy Moral: ظُلْم,"['عمر', 'الظلم', 'طال', 'ساعة', 'عدل', 'الله', 'باق', 'قيام', 'الساعة']"
العدالة لها رجلان تنصف المظلوم و تعاقب الظالم.,Sentiment: positive,"['العدالة', 'رجلان', 'تنصف', 'المظلوم', 'تعاقب', 'الظالم']"
الظلم علامة واضحة من علامات الضعف البشري.,Blameworthy Moral: ظُلْم,"['الظلم', 'علامة', 'اضحة', 'علامات', 'الضعف', 'البشري']"
وإنّ ظلم الضعيف أفحش أنواع الظلم.,Blameworthy Moral: ظُلْم,"['ظلم', 'الضعيف', 'أفحش', 'أنواع', 'الظلم']"
ظلم اليتامى مفتاح الفقر.,Blameworthy Moral: ظُلْم,"['ظلم', 'اليتامى', 'مفتاح', 'الفقر']"
لو أيقن الظالم أن للمظلوم رباً يدافع عنه لما ظلمه، فلا يظلم الظالم إلّا وهو منكر لربه,Blameworthy Moral: ظُلْم,"['أيقن', 'الظالم', 'للمظلوم', 'ربا', 'يدافع', 'عنه', 'ظلمه', 'يظلم', 'الظالم', 'منكر', 'لربه']"
بيت الظالم خراب.,Sentiment: negative,"['بيت', 'الظالم', 'خراب']"
لو أحسّ الظالم بنار الحرقة المشتعلة في قلب المظلوم لأطفأ نجوم العالم بيديه قبل أن يظلمه.,Sentiment: negative,"['أحس', 'الظالم', 'بنار', 'الحرقة', 'المشتعلة', 'قلب', 'المظلوم', 'لأطفأ', 'نجوم', 'العالم', 'بيديه', 'يظلمه']"
ألا تفزع أيّها الظالم عندما تعلم أنّ الله سيقضي يوم الساعة في المظالم؟!,Sentiment: negative,"['تفزع', 'الظالم', 'عندما', 'تعلم', 'الله', 'سيقضي', 'يوم', 'الساعة', 'المظالم']"
وفي وجه الظالم عتمة سببها ظلمة..لا تزول.,Blameworthy Moral: ظُلْم,"['جه', 'الظالم', 'عتمة', 'سببها', 'ظلمةلا', 'تزول']"
بأيّ حجة سيلقى الظالم ربّ العدالة يوم القيامة، وبما سيدافع عمّا اقترف في حقّ أخيه الإنسان؟!,Sentiment: negative,"['بأي', 'حجة', 'سيلقى', 'الظالم', 'رب', 'العدالة', 'يوم', 'القيامة', 'سيدافع', 'اقترف', 'حق', 'أخيه', 'الإنسان']"
لو رأى الظالم على جنب المظلوم سيفاً لما أقدم على الظلم.,Blameworthy Moral: ظُلْم,"['الظالم', 'جنب', 'المظلوم', 'سيفا', 'أقدم', 'الظلم']"
قد يرفع الله الظالم ليس حبّاً وإنّما ليسقطه من علوّ.,Sentiment: negative,"['يرفع', 'الله', 'الظالم', 'حبا', 'ليسقطه', 'علو']"
سُيسقى الظالم من الكأس الذي سقى به، وسيعلم أنّ وعد الله حق.,Sentiment: negative,"['سيسقى', 'الظالم', 'الكأس', 'سيعلم', 'عد', 'الله', 'حق']"
لو علم الظالم أن سيُكال له بالمكيال الذي كال فيه لغيره لما تجرأ على الظلم لحظة.,Blameworthy Moral: ظُلْم,"['الظالم', 'سيكال', 'بالمكيال', 'كال', 'لغيره', 'تجرأ', 'الظلم', 'لحظة']"
لو علم الظالم أنّ المظلوم ينقل ملف القضية من قاضي الأرض إلى قاضي السماء لما تجرأ على ما فعل.,Sentiment: negative,"['الظالم', 'المظلوم', 'ينقل', 'ملف', 'القضية', 'قاضي', 'الأرض', 'قاضي', 'السماا', 'تجرأ', 'فعل']"
يُجرّد المظلوم من إنسانيّته في اللحظة التي يظلم فيها أخاه الإنسان.,Sentiment: negative,"['يجرد', 'المظلوم', 'إنسانيته', 'اللحظة', 'يظلم', 'أخاه', 'الإنسان']"
لا تحسبنّ الله بغافل عن الظالم، إنّما يزيده ارتفاعاً ليكون سقوطه مدوياً.,Sentiment: negative,"['تحسبن', 'الله', 'بغافل', 'الظالم', 'يزيده', 'ارتفاعا', 'ليكون', 'سقوطه', 'مدويا']"
إنّما يكتب الظالم نهاية حياته حين يبدأ الظلم.,Blameworthy Moral: ظُلْم,"['يكتب', 'الظالم', 'نهاية', 'حياته', 'يبدأ', 'الظلم']"
"""كما تدين تُدان"" يسمعها المظلوم فيرتاح، ويسمعها الظالم فيخاف.",Sentiment: positive,"['تدين', 'تدان', 'يسمعها', 'المظلوم', 'فيرتاح', 'يسمعها', 'الظالم', 'فيخاف']"
بيت الظالم ظلمة، ولو أوقد فيه أضواء العالم أجمع.,Blameworthy Moral: ظُلْم,"['بيت', 'الظالم', 'ظلمة', 'أوقد', 'أضواا', 'العالم']"
أيّها الظالم..إذا دعتك قدرتك على ظلم الناس فتذكّر قدرة الله عليك.,Blameworthy Moral: ظُلْم,"['الظالمإذا', 'دعتك', 'قدرتك', 'ظلم', 'الناس', 'فتذكر', 'قدرة', 'الله']"
دموع المظلومين في أعينهم مجرّد دموع، لكنّها بيد الله صواعق يضرب بها أيدي من ظلموهم.,Sentiment: positive,"['دموع', 'المظلومين', 'أعينهم', 'مجرد', 'دموع', 'لكنها', 'الله', 'صواعق', 'يضرب', 'أيدي', 'ظلموهم']"
أظلم من الظالم من يساعد الظالم على ظلمه.,Blameworthy Moral: ظُلْم,"['أظلم', 'الظالم', 'يساعد', 'الظالم', 'ظلمه']"
أيّها الظالم توقّف إنّ إنسانيّتك تتآكل.,Sentiment: negative,"['الظالم', 'توقف', 'إنسانيتك', 'تتآكل']"
في القلب نار ظلمك مشعلها، وفي الروح غصة لا أدري كيف أطفئها، لو كان ظالمي عدوا لما كان عجبي، أو لو كان صديقاً لما اكتوت في دمعي الهدب، لكنّ ظالمي (أنت) يا مالك القلبِ، قلي بربّك ما الحلّ في مظلمتي، أأصمت وفي القلب نارٌ تغالبه، أم أشكوك للربِّ؟!,Blameworthy Moral: ظُلْم,"['القلب', 'نار', 'ظلمك', 'مشعلها', 'الروح', 'غصة', 'أدري', 'أطفئها', 'ظالمي', 'عدوا', 'عجبي', 'صديقا', 'اكتوت', 'دمعي', 'الهدب', 'ظالمي', 'مالك', 'القلب', 'قلي', 'بربك', 'الحل', 'مظلمتي', 'أأصمت', 'القلب', 'نار', 'تغالبه', 'أشكوك', 'للرب']"
لم أكن أدري بأنّ أول لقاء جمعنا لم يكن إلّا بداية قصة مليئة بفصول ظلمك الأسود، وبأنني سأقف والدموع ملء عينيّ حائراً بين الدعاء عليك بالقصاص وبين حبّك الذي كوى قلبي بناره، لطالما علمت أنّ الظلم مرّ لا يحليه سكّر العالم أجمع، لكنّ في ظلم الأحبّة قهرا يفوق الوصف.,Blameworthy Moral: ظُلْم,"['أكن', 'أدري', 'بأن', 'لقاا', 'جمعنا', 'يكن', 'بداية', 'قصة', 'مليئة', 'بفصول', 'ظلمك', 'الأسود', 'بأنني', 'سأقف', 'الدموع', 'ملا', 'عيني', 'حائرا', 'الدعاا', 'بالقصاص', 'حبك', 'كوى', 'قلبي', 'بناره', 'لطالما', 'علمت', 'الظلم', 'مر', 'يحليه', 'سكر', 'العالم', 'ظلم', 'الأحبة', 'قهرا', 'يفوق', 'الوصف']"
أقف اليوم وفي بالي سؤال واحد: ترى كيف يُداوى من غصّ بالماء؟ وإلى أيّ حبيب يشكو من ظلمه حبيبه!,Blameworthy Moral: ظُلْم,"['أقف', 'اليوم', 'بالي', 'ساال', 'احد', 'ترى', 'يداوى', 'غص', 'بالماا', 'يشكو', 'ظلمه', 'حبيبه']"
تذوقت حبّك لكنّني أتجرع اليوم ألم العالم أجمع بظلمك، وأتساءل ترى كيف تجرأ قلبك على ظُلمي وقد كان قلبي له الدفء والمرفأ! لا عجب في ذلك فلطالما أغرق البحر سفينة كانت تعدّه مسكنها ومأواها!,Blameworthy Moral: ظُلْم,"['تذوقت', 'حبك', 'لكنني', 'أتجرع', 'اليوم', 'ألم', 'العالم', 'بظلمك', 'أتساال', 'ترى', 'تجرأ', 'قلبك', 'ظلمي', 'قلبي', 'الدفا', 'المرفأ', 'عجب', 'فلطالما', 'أغرق', 'البحر', 'سفينة', 'كانت', 'تعده', 'مسكنها', 'مأواها']"
وبعض المظالم خيبات وقهر، تبقى في القلوب ولا تُطوى مدى الدهر، تلك المظالم التي اكتوينا بيد الحبيب بها يا لطعمها المر! لا القلب قادر على الغفران، ولا الروح تكفّ عن أكلها النيران، تنام الليل وفي قلبك الغصّات، وتصحو وحنجرتك مليئة بالتنهيد والآهات، لماذا؟ لماذا يصرّ الأحبة على جرح من أحبوهم بالذات؟!,Sentiment: negative,"['المظالم', 'خيبات', 'قهر', 'تبقى', 'القلوب', 'تطوى', 'مدى', 'الدهر', 'المظالم', 'اكتوينا', 'الحبيب', 'لطعمها', 'المر', 'القلب', 'قادر', 'الغفران', 'الروح', 'تكف', 'أكلها', 'النيران', 'تنام', 'الليل', 'قلبك', 'الغصات', 'تصحو', 'حنجرتك', 'مليئة', 'بالتنهيد', 'الآهات', 'لماذا', 'لماذا', 'يصر', 'الأحبة', 'جرح', 'أحبوهم', 'بالذات']"
سوء الظن هو بداية الحكمة.,Good Moral: الحكمة,"['سوا', 'الظن', 'بداية', 'الحكمة']"
لا تحسن الظن حد الغباء ولا تسئ الظن حد الوسوسة وليكن حسن ظنك ثقة وسوء ظنك وقاية.,Sentiment: neutral,"['تحسن', 'الظن', 'حد', 'الغباا', 'تسئ', 'الظن', 'حد', 'الوسوسة', 'ليكن', 'حسن', 'ظنك', 'ثقة', 'سوا', 'ظنك', 'قاية']"
حسن الظن فضيلة، إلّا إذا صادمة الواقع الملموس، فإنّه يصبح بلهاً وغفلة.,Sentiment: positive,"['حسن', 'الظن', 'فضيلة', 'صادمة', 'الواقع', 'الملموس', 'فإنه', 'يصبح', 'بلها', 'غفلة']"
سوء الظن دواء تصفه الحكمة.,Good Moral: الحكمة,"['سوا', 'الظن', 'دواا', 'تصفه', 'الحكمة']"
ألق حسن الظن على الخَلق وسوء الظن على نفسك لتكون من الأول في سلامة ومن الآخر على الزيادة.,Sentiment: neutral,"['ألق', 'حسن', 'الظن', 'الخلق', 'سوا', 'الظن', 'نفسك', 'لتكون', 'الأول', 'سلامة', 'الآخر', 'الزيادة']"
حسن الظن ورطة، وسوء الظن عصمة.,Sentiment: negative,"['حسن', 'الظن', 'رطة', 'سوا', 'الظن', 'عصمة']"
الثقة أم الكدر، وسوء الظن أبو الأمان.,Good Moral: أَمان,"['الثقة', 'الكدر', 'سوا', 'الظن', 'الأمان']"
