Citation,Manner,Cleaned_Citation,Stemmed_tokens,Tokenized_Citation
تكرار الأعياد أرهقني، وتكرار الانتظار أرهقني، وتكرار الغياب أرهقني، فكلها ممزوجة بطعم الخذلان.,Sentiment: negative,"['تكرار', 'الأعياد', 'أرهقني', 'تكرار', 'الانتظار', 'أرهقني', 'تكرار', 'الغياب', 'أرهقني', 'فكلها', 'ممزوجة', 'بطعم', 'الخذلان']",تكرار أعياد أرهق تكرار ٱنتظار أرهق تكرار غياب أرهق كل ممزوجة طعم خذلان,"['تكرار', 'أعياد', 'أرهق', 'تكرار', 'ٱنتظار', 'أرهق', 'تكرار', 'غياب', 'أرهق', 'كل', 'ممزوجة', 'طعم', 'خذلان']"
صدّقوني أنا بخير...فقط أعاني القليل من وجع القلب، وموجات من الاختناق، وتعكّر المزاج، والعصبية، والهذيان، وبعض الجروح، والآلام، والكثير من الخذلان.,Sentiment: negative,"['صدقوني', 'بخيرفقط', 'أعاني', 'القليل', 'جع', 'القلب', 'موجات', 'الاختناق', 'تعكر', 'المزاج', 'العصبية', 'الهذيان', 'الجروح', 'الآلام', 'الكثير', 'الخذلان']",صدق بخيرفقط عانى قليل جع قلب موج ٱختناق تعكر مزاج عصبي هذيان جروح آلام كثير خذلان,"['صدق', 'بخيرفقط', 'عانى', 'قليل', 'جع', 'قلب', 'موج', 'ٱختناق', 'تعكر', 'مزاج', 'عصبي', 'هذيان', 'جروح', 'آلام', 'كثير', 'خذلان']"
خيبة الأمل، وفقدان الثقة، والإحباط، كلّها صفات لمعنى واحد، وحالة تُشعل في النّفس مشاعر الخسارة، والفقد، إنّه الشعور بالخذلان.,Sentiment: negative,"['خيبة', 'الأمل', 'فقدان', 'الثقة', 'الإحباط', 'كلها', 'صفات', 'لمعنى', 'احد', 'حالة', 'تشعل', 'النفس', 'مشاعر', 'الخسارة', 'الفقد', 'الشعور', 'بالخذلان']",خيب أمل فقدان ثق إحباط كل صف لمع أحد حال شعل نفس مشاعر خسار فقد شعور خذلان,"['خيب', 'أمل', 'فقدان', 'ثق', 'إحباط', 'كل', 'صف', 'لمع', 'أحد', 'حال', 'شعل', 'نفس', 'مشاعر', 'خسار', 'فقد', 'شعور', 'خذلان']"
يحدث الخذلان إثر التّعرض لموقف لم تتوقعه بأيّ حال من الأحوال..يأتيك ممّن كان يوماً مصدر ثقة، وأمان، ومستودعاً للأسرار.,Good Moral: أَمان,"['يحدث', 'الخذلان', 'إثر', 'التعرض', 'لموقف', 'تتوقعه', 'بأي', 'حال', 'الأحواليأتيك', 'يوما', 'مصدر', 'ثقة', 'أمان', 'مستودعا', 'للأسرار']",حدث خذلان أثر تعرض موقف توقع باي حال الأحواليأتيك يوم مصدر ثق أمان مستودع أسرار,"['حدث', 'خذلان', 'أثر', 'تعرض', 'موقف', 'توقع', 'باي', 'حال', 'الأحواليأتيك', 'يوم', 'مصدر', 'ثق', 'أمان', 'مستودع', 'أسرار']"
ثمّة نوع من الخذلان أشد وقعاً على النفس من أيّ شيء آخر إنّه خذلان نفسك.,Sentiment: negative,"['نوع', 'الخذلان', 'أشد', 'قعا', 'النفس', 'شيا', 'آخر', 'خذلان', 'نفسك']",نوع خذلان أشد قعا نفس شي آخر خذلان نفس,"['نوع', 'خذلان', 'أشد', 'قعا', 'نفس', 'شي', 'آخر', 'خذلان', 'نفس']"
خذلان النّفس هو أن تشعر بأنّك صغُرت، وتضاءلت أمام نفسك بسبب موقف قاسٍ في الحياة.,Sentiment: negative,"['خذلان', 'النفس', 'تشعر', 'بأنك', 'صغرت', 'تضاالت', 'نفسك', 'بسبب', 'موقف', 'قاس', 'الحياة']",خذلان نفس شعر بأن صغر تضاالت نفس سبب موقف قاس ألحي,"['خذلان', 'نفس', 'شعر', 'بأن', 'صغر', 'تضاالت', 'نفس', 'سبب', 'موقف', 'قاس', 'ألحي']"
إنّ الخِذلان في وقعِه على النّفس أقسى من أيّ شيء آخر، لأنّه نابع من مدى محبتِنَا، وثقَتنا بالطّرفِ الآخر.,Good Moral: مُحِبّ,"['الخذلان', 'قعه', 'النفس', 'أقسى', 'شيا', 'آخر', 'لأنه', 'نابع', 'مدى', 'محبتنا', 'ثقتنا', 'بالطرف', 'الآخر']",خذلان قعه نفس أقسى شي آخر لأن نابع مد محب ثق طرف آخر,"['خذلان', 'قعه', 'نفس', 'أقسى', 'شي', 'آخر', 'لأن', 'نابع', 'مد', 'محب', 'ثق', 'طرف', 'آخر']"
كلّما كان الشّخص قريباً كان الألم، والخذلان، والخيبة أكبر، وكان وقعُه على النّفس أعظم.,Sentiment: neutral,"['الشخص', 'قريبا', 'الألم', 'الخذلان', 'الخيبة', 'أكبر', 'قعه', 'النفس', 'أعظم']",شخص قريب ألم خذلان خيب أكبر قعه نفس أعظم,"['شخص', 'قريب', 'ألم', 'خذلان', 'خيب', 'أكبر', 'قعه', 'نفس', 'أعظم']"
الخذلان الأكبر يأتي أحياناً من أولئك الذين قرّبناهم منّا أكثر.,Sentiment: negative,"['الخذلان', 'الأكبر', 'يأتي', 'أحيانا', 'قربناهم', 'منا']",خذلان أكبر أتي أحيا قرب من,"['خذلان', 'أكبر', 'أتي', 'أحيا', 'قرب', 'من']"
إن أصابك الخذلان فلا ترتجي ممّن سببه لك أملاً.,Sentiment: negative,"['أصابك', 'الخذلان', 'ترتجي', 'سببه', 'أملا']",أصاب خذلان رتج سبب أمل,"['أصاب', 'خذلان', 'رتج', 'سبب', 'أمل']"
دع مسافة أمان بينك، وبين الآخرين حتى تقي نفسك من ألم جرح الخذلان، وخيبة الأمل، فالحيطة واجبة.,Good Moral: أَمان,"['دع', 'مسافة', 'أمان', 'بينك', 'الآخرين', 'تقي', 'نفسك', 'ألم', 'جرح', 'الخذلان', 'خيبة', 'الأمل', 'فالحيطة', 'اجبة']",دع مساف أمان بين آخر تقى نفس ألم جرح خذلان خيب أمل حيط جب,"['دع', 'مساف', 'أمان', 'بين', 'آخر', 'تقى', 'نفس', 'ألم', 'جرح', 'خذلان', 'خيب', 'أمل', 'حيط', 'جب']"
خذلوني أولئك الذين ظننت الحياة معهم ستكون أفضل، فليتهم اصطفوا ضدي، ولم يصطفوا خلفي ليتقاسموا ظهري بخناجر غدرهم المسمومة.,Sentiment: negative,"['خذلوني', 'ظننت', 'الحياة', 'معهم', 'ستكون', 'أفضل', 'فليتهم', 'اصطفوا', 'ضدي', 'يصطفوا', 'خلفي', 'ليتقاسموا', 'ظهري', 'بخناجر', 'غدرهم', 'المسمومة']",خذل ظنن ألحي مع كون أفضل فلي ٱصطف ضد صطف خلف تقاسم ظهر خناجر غدر مسموم,"['خذل', 'ظنن', 'ألحي', 'مع', 'كون', 'أفضل', 'فلي', 'ٱصطف', 'ضد', 'صطف', 'خلف', 'تقاسم', 'ظهر', 'خناجر', 'غدر', 'مسموم']"
تركت لمن خذلني ظلّي ورحلت، لأنّني لا أحمل رغبة الانتقام من أحد، والأيام كفيلة برد اعتباري.,Blameworthy Moral: ٱِنْتِقام,"['تركت', 'خذلني', 'ظلي', 'رحلت', 'لأنني', 'أحمل', 'رغبة', 'الانتقام', 'الأيام', 'كفيلة', 'برد', 'اعتباري']",ترك خذل ظل رحل لأن أحمل رغب ٱنتقام أيام كفيل برد ٱعتبار,"['ترك', 'خذل', 'ظل', 'رحل', 'لأن', 'أحمل', 'رغب', 'ٱنتقام', 'أيام', 'كفيل', 'برد', 'ٱعتبار']"
قد يَمرّ الإنسان بلحظات من الإحباط لا تفسير لها ولا مبرّر، لا بدّ أنّها تراكمات سبّبت له أكواماً من الخذلان.,Sentiment: negative,"['يمر', 'الإنسان', 'بلحظات', 'الإحباط', 'تفسير', 'مبرر', 'بد', 'أنها', 'تراكمات', 'سببت', 'أكواما', 'الخذلان']",مر إنسان لحظ إحباط تفسير مبرر بد آن تراكم سبب أكوام خذلان,"['مر', 'إنسان', 'لحظ', 'إحباط', 'تفسير', 'مبرر', 'بد', 'آن', 'تراكم', 'سبب', 'أكوام', 'خذلان']"
قمّة الخذلان يا صديقي، أن أحفظ عهدك، وأصون ودَّك، وأُذكّر نفسي بأنّني يجب أن أراعي ما بيني، وبينك، وفجأة يضيع في لحظة كلّ شيء.,Sentiment: negative,"['قمة', 'الخذلان', 'صديقي', 'أحفظ', 'عهدك', 'أصون', 'دك', 'أذكر', 'نفسي', 'بأنني', 'يجب', 'أراعي', 'بيني', 'بينك', 'فجأة', 'يضيع', 'لحظة', 'شيا']",قم خذلان صديق أحفظ عهد صون دك أذكر نفس بأن جب راعى بين بين فج ضيع لحظ شي,"['قم', 'خذلان', 'صديق', 'أحفظ', 'عهد', 'صون', 'دك', 'أذكر', 'نفس', 'بأن', 'جب', 'راعى', 'بين', 'بين', 'فج', 'ضيع', 'لحظ', 'شي']"
ليس غريباً أن يأتيك الخذلان من صديق حميم، أو ممّن كنت تظنّه أقرب الناس إليك.,Sentiment: neutral,"['غريبا', 'يأتيك', 'الخذلان', 'صديق', 'حميم', 'كنت', 'تظنه', 'أقرب', 'الناس']",غريب أتي خذلان صديق حميم كن ظن أقرب ناس,"['غريب', 'أتي', 'خذلان', 'صديق', 'حميم', 'كن', 'ظن', 'أقرب', 'ناس']"
إنّ الألم النفسي، والإحباط سيكونان أكثر وقعاً على النفس إذا ما كان مصدر التخاذل صديق قريب.,Sentiment: negative,"['الألم', 'النفسي', 'الإحباط', 'سيكونان', 'قعا', 'النفس', 'مصدر', 'التخاذل', 'صديق', 'قريب']",ألم نفسي إحباط كون قعا نفس مصدر تخاذل صديق قريب,"['ألم', 'نفسي', 'إحباط', 'كون', 'قعا', 'نفس', 'مصدر', 'تخاذل', 'صديق', 'قريب']"
الكثير من قصص الخذلان التي تحدث بين الأصدقاء تنتهي دون مواجهة مكشوفة، ولا مصارحة حاسمة.,Sentiment: negative,"['الكثير', 'قصص', 'الخذلان', 'تحدث', 'الأصدقاا', 'تنتهي', 'مواجهة', 'مكشوفة', 'مصارحة', 'حاسمة']",كثير قصص خذلان تحدث الأصدقاا نته مواجه مكشوف مصارح حاسم,"['كثير', 'قصص', 'خذلان', 'تحدث', 'الأصدقاا', 'نته', 'مواجه', 'مكشوف', 'مصارح', 'حاسم']"
في خذلان الأصدقاء تكون العاصفة غائبة، ولكنّ الأشجار مقتلعة، والدّمار حدث بالداخل، وهذا ما يزيد من وجع الشخص الذي قدّم الحب بصدق.,Good Moral: صِدْق,"['خذلان', 'الأصدقاا', 'تكون', 'العاصفة', 'غائبة', 'الأشجار', 'مقتلعة', 'الدمار', 'حدث', 'بالداخل', 'يزيد', 'جع', 'الشخص', 'قدم', 'الحب', 'بصدق']",خذلان الأصدقاا تكون عاصف غائب أشجار مقتلعة دمار حدث داخل زيد جع شخص قدم حب صدق,"['خذلان', 'الأصدقاا', 'تكون', 'عاصف', 'غائب', 'أشجار', 'مقتلعة', 'دمار', 'حدث', 'داخل', 'زيد', 'جع', 'شخص', 'قدم', 'حب', 'صدق']"
سيتسبّب أيّ نوع من خذلان الأصدقاء سواء كان مادي، أو عاطفي، أو اجتماعي في فقدان الثقة بالآخرين.,Sentiment: negative,"['سيتسبب', 'نوع', 'خذلان', 'الأصدقاا', 'سواا', 'مادي', 'عاطفي', 'اجتماعي', 'فقدان', 'الثقة', 'بالآخرين']",تسبب نوع خذلان الأصدقاا سوأ ماد عاطف ٱجتماع فقدان ثق آخر,"['تسبب', 'نوع', 'خذلان', 'الأصدقاا', 'سوأ', 'ماد', 'عاطف', 'ٱجتماع', 'فقدان', 'ثق', 'آخر']"
خذلان الأصدقاء ليس مجرد خذلان فحسب، بل هو ضربتان قاضيتان إحداهما تشقّ القلب بسبب الخذلان نفسه، والأخرى تميته لأنّ مَن تسبّب به هو أقرب الناس إليك.,Sentiment: negative,"['خذلان', 'الأصدقاا', 'مجرد', 'خذلان', 'فحسب', 'ضربتان', 'قاضيتان', 'إحداهما', 'تشق', 'القلب', 'بسبب', 'الخذلان', 'نفسه', 'الأخرى', 'تميته', 'لأن', 'تسبب', 'أقرب', 'الناس']",خذلان الأصدقاا مجرد خذلان فحسب ضرب قاضي أحد شق قلب سبب خذلان نفس أخرى ميت لأن تسبب أقرب ناس,"['خذلان', 'الأصدقاا', 'مجرد', 'خذلان', 'فحسب', 'ضرب', 'قاضي', 'أحد', 'شق', 'قلب', 'سبب', 'خذلان', 'نفس', 'أخرى', 'ميت', 'لأن', 'تسبب', 'أقرب', 'ناس']"
"لا أحد يُشفى من خذلان الأصدقاء، وإن قابلت أشخاص يستحقون الثّقة، يبقى صوت بداخلك يهمس: ""غدآ سينتهي كلّ شيء"".",Sentiment: negative,"['يشفى', 'خذلان', 'الأصدقاا', 'قابلت', 'أشخاص', 'يستحقون', 'الثقة', 'يبقى', 'صوت', 'بداخلك', 'يهمس', 'غدآ', 'سينتهي', 'شيا']",شفى خذلان الأصدقاا قابل أشخاص ستحق ثق بقى صوت داخل همس غد نتهي شي,"['شفى', 'خذلان', 'الأصدقاا', 'قابل', 'أشخاص', 'ستحق', 'ثق', 'بقى', 'صوت', 'داخل', 'همس', 'غد', 'نتهي', 'شي']"
إن كان الفراق ما تصبو إليه يا صديقي، فهو لك نفّذه لا تتردّد، واجلدني بكلّ قوتك، فلن يكون سياط الفراق، أقسى من سياط الخذلان.,Sentiment: negative,"['الفراق', 'تصبو', 'إليه', 'صديقي', 'فهو', 'نفذه', 'تتردد', 'اجلدني', 'بكل', 'قوتك', 'فلن', 'يكون', 'سياط', 'الفراق', 'أقسى', 'سياط', 'الخذلان']",فراق صبو ألي صديق هو نفذ تردد أجلد بكل قو فل يكون سياط فراق أقسى سياط خذلان,"['فراق', 'صبو', 'ألي', 'صديق', 'هو', 'نفذ', 'تردد', 'أجلد', 'بكل', 'قو', 'فل', 'يكون', 'سياط', 'فراق', 'أقسى', 'سياط', 'خذلان']"
قد يرى البعض أنّ التسامح انكساراً، والصمت هزيمة، لكنّهم لا يعرفون أنّ التسامح يحتاج قوّة أكبر من الانتقام، وأنّ الصمت أقوى من أيّ كلام.,Good Moral: صَمِت,"['يرى', 'البعض', 'التسامح', 'انكسارا', 'الصمت', 'هزيمة', 'لكنهم', 'يعرفون', 'التسامح', 'يحتاج', 'قوة', 'أكبر', 'الانتقام', 'الصمت', 'أقوى', 'كلام']",ري بعض تسامح ٱنكسار صمت هزيم لكن عرف تسامح حتاج قو أكبر ٱنتقام صمت أقوى كلام,"['ري', 'بعض', 'تسامح', 'ٱنكسار', 'صمت', 'هزيم', 'لكن', 'عرف', 'تسامح', 'حتاج', 'قو', 'أكبر', 'ٱنتقام', 'صمت', 'أقوى', 'كلام']"
قد يكون التسامح صعباً أحياناً، إلّا أن مَن يصل إليه يسعد.,Sentiment: positive,"['يكون', 'التسامح', 'صعبا', 'أحيانا', 'يصل', 'إليه', 'يسعد']",يكون تسامح صعب أحيا صل ألي سعد,"['يكون', 'تسامح', 'صعب', 'أحيا', 'صل', 'ألي', 'سعد']"
المسامحة ليست ميّزة، أو معروف نُنعم به على المسيء بقدر ما هي معروف نصنعه لأنفسنا، لأنّنا تستحق أن نعيش بسلام، وبشكل متصالح مع أنفسنا، والآخرين.,Sentiment: positive,"['المسامحة', 'ميزة', 'معروف', 'ننعم', 'المسيا', 'بقدر', 'معروف', 'نصنعه', 'لأنفسنا', 'لأننا', 'تستحق', 'نعيش', 'بسلام', 'بشكل', 'متصالح', 'أنفسنا', 'الآخرين']",مسامح ميز معروف نعم المسيا قدر معروف صنع أنفس لأن ستحق عيش سلام شكل متصالح أنفس آخر,"['مسامح', 'ميز', 'معروف', 'نعم', 'المسيا', 'قدر', 'معروف', 'صنع', 'أنفس', 'لأن', 'ستحق', 'عيش', 'سلام', 'شكل', 'متصالح', 'أنفس', 'آخر']"
إنّ الذات السلبيّة في الإنسان هي التي تغضب، وتأخذ بالثأر، وتعاقب بينما الطّبيعة الحقيقية للإنسان هي النقاء، وسماحة النفس، والصّفاء، والتّسامح مع الآخرين.,Good Moral: سَماح,"['الذات', 'السلبية', 'الإنسان', 'تغضب', 'تأخذ', 'بالثأر', 'تعاقب', 'بينما', 'الطبيعة', 'الحقيقية', 'للإنسان', 'النقاا', 'سماحة', 'النفس', 'الصفاا', 'التسامح', 'الآخرين']",ذات سلبي إنسان تغضب أخذ ثأر تعاقب بينما طبيع حقيقي إنسان النقاا سماح نفس الصفاا تسامح آخر,"['ذات', 'سلبي', 'إنسان', 'تغضب', 'أخذ', 'ثأر', 'تعاقب', 'بينما', 'طبيع', 'حقيقي', 'إنسان', 'النقاا', 'سماح', 'نفس', 'الصفاا', 'تسامح', 'آخر']"
تُقاس عظمة الرجال بمدى استعدادهم للعفو، والتّسامح عن الذين أساءوا إليهم.,Sentiment: positive,"['تقاس', 'عظمة', 'الرجال', 'بمدى', 'استعدادهم', 'للعفو', 'التسامح', 'أسااوا']",قاس عظم رجال مد ٱستعداد عفو تسامح أسااوا,"['قاس', 'عظم', 'رجال', 'مد', 'ٱستعداد', 'عفو', 'تسامح', 'أسااوا']"
القوّة الحقيقية تكمن في تسامحك مع الآخرين في الوقت الذي تملك فيه القدرة على الانتقام.,Good Moral: أَلْق,"['القوة', 'الحقيقية', 'تكمن', 'تسامحك', 'الآخرين', 'الوقت', 'تملك', 'القدرة', 'الانتقام']",ألق حقيقي تكمن تسامح آخر وقت تملك قدر ٱنتقام,"['ألق', 'حقيقي', 'تكمن', 'تسامح', 'آخر', 'وقت', 'تملك', 'قدر', 'ٱنتقام']"
العفو، والتّسامح يأتيان في لحظة قدرتك على الانتقام، فعندها تكون قادراً لكنّ قلبك أنقى من أن ينتقم.,Blameworthy Moral: ٱِنْتِقام,"['العفو', 'التسامح', 'يأتيان', 'لحظة', 'قدرتك', 'الانتقام', 'فعندها', 'تكون', 'قادرا', 'قلبك', 'أنقى', 'ينتقم']",عفو تسامح أتي لحظ قدر ٱنتقام عند تكون قادر قلب أنقى نتقم,"['عفو', 'تسامح', 'أتي', 'لحظ', 'قدر', 'ٱنتقام', 'عند', 'تكون', 'قادر', 'قلب', 'أنقى', 'نتقم']"
الشّخص المتسامح ليس له أعداء.,Sentiment: positive,"['الشخص', 'المتسامح', 'أعداا']",شخص متسامح أعداا,"['شخص', 'متسامح', 'أعداا']"
التسامح طريقنا إلى جنّة الدنيا قبل جنّة الآخرة.,Sentiment: positive,"['التسامح', 'طريقنا', 'جنة', 'الدنيا', 'جنة', 'الآخرة']",تسامح طريق جن دنيا جن آخر,"['تسامح', 'طريق', 'جن', 'دنيا', 'جن', 'آخر']"
الضّعيف لا يمكنه الغفران، فالتّسامح شيمة الأقوياء.,Sentiment: positive,"['الضعيف', 'يمكنه', 'الغفران', 'فالتسامح', 'شيمة', 'الأقوياا']",ضعيف مكن غفران تسامح شيم الأقوياا,"['ضعيف', 'مكن', 'غفران', 'تسامح', 'شيم', 'الأقوياا']"
ربُّوا أنفسكم على التسامح، فمن يزرع زهراً يحصد أجمل العبير.,Sentiment: positive,"['ربوا', 'أنفسكم', 'التسامح', 'يزرع', 'زهرا', 'يحصد', 'أجمل', 'العبير']",رب أنفس تسامح زرع زهر حصد أجمل عبير,"['رب', 'أنفس', 'تسامح', 'زرع', 'زهر', 'حصد', 'أجمل', 'عبير']"
التّسامح جزء من العدالة.,Sentiment: positive,"['التسامح', 'جزا', 'العدالة']",تسامح جز عدال,"['تسامح', 'جز', 'عدال']"
أشرف الثّأر العفو.,Sentiment: positive,"['أشرف', 'الثأر', 'العفو']",أشرف ثأر عفو,"['أشرف', 'ثأر', 'عفو']"
التّسامح زينة الفضائل.,Sentiment: positive,"['التسامح', 'زينة', 'الفضائل']",تسامح زين فضائل,"['تسامح', 'زين', 'فضائل']"
إنّنا نظهر تسامحاً كبيراً مع الأشخاص الذين نريد مسامحتهم حتّى وإن كانت أخطاؤهم عظيمة، ونركّز على كلّ خطأ، وإن كان صغيراً مع الأشخاص الذين لا نريد مسامحتهم، إنّ التسامح مرتبط بشدة بمشاعرنا وإرادتنا.,Sentiment: positive,"['إننا', 'نظهر', 'تسامحا', 'كبيرا', 'الأشخاص', 'نريد', 'مسامحتهم', 'كانت', 'أخطااهم', 'عظيمة', 'نركز', 'خطأ', 'صغيرا', 'الأشخاص', 'نريد', 'مسامحتهم', 'التسامح', 'مرتبط', 'بشدة', 'بمشاعرنا', 'إرادتنا']",آن ظهر تسامح كبير أشخاص ريد مسامح كان أخطااهم عظيم ركز خط صغير أشخاص ريد مسامح تسامح مرتبط شد مشاعر أراد,"['آن', 'ظهر', 'تسامح', 'كبير', 'أشخاص', 'ريد', 'مسامح', 'كان', 'أخطااهم', 'عظيم', 'ركز', 'خط', 'صغير', 'أشخاص', 'ريد', 'مسامح', 'تسامح', 'مرتبط', 'شد', 'مشاعر', 'أراد']"
التّسامح هو الذي يمنح للصواب قوّته، وقدرته على الامتداد، وتحقيق النصر.,Sentiment: positive,"['التسامح', 'يمنح', 'للصواب', 'قوته', 'قدرته', 'الامتداد', 'تحقيق', 'النصر']",تسامح منح صواب قو قدر ٱمتداد تحقيق نصر,"['تسامح', 'منح', 'صواب', 'قو', 'قدر', 'ٱمتداد', 'تحقيق', 'نصر']"
إنّ التسامح خلقٌ إن امتلكناه امتلكنا جميع الأخلاق، وذلك لأنّ التسامح هو الذي يعفو عن غضبك، وهو الذي ينسي الشخص عيوبك، وهو الذي يجعلك محبوباً عند الآخرين.,Blameworthy Moral: ذُلّ,"['التسامح', 'خلق', 'امتلكناه', 'امتلكنا', 'الأخلاق', 'لأن', 'التسامح', 'يعفو', 'غضبك', 'ينسي', 'الشخص', 'عيوبك', 'يجعلك', 'محبوبا', 'الآخرين']",تسامح خلق ٱمتلك ٱمتلك أخلاق لأن تسامح عفو غضب نسى شخص عيوب جعل محبوب آخر,"['تسامح', 'خلق', 'ٱمتلك', 'ٱمتلك', 'أخلاق', 'لأن', 'تسامح', 'عفو', 'غضب', 'نسى', 'شخص', 'عيوب', 'جعل', 'محبوب', 'آخر']"
عندما تُسامح فإنّك تتنازل عن غضبك للآخرين.,Blameworthy Moral: غَضَب,"['عندما', 'تسامح', 'فإنك', 'تتنازل', 'غضبك', 'للآخرين']",عندم تسامح آن تنازل غضب آخر,"['عندم', 'تسامح', 'آن', 'تنازل', 'غضب', 'آخر']"
أعقل الناس أعذرهم للناس.,Sentiment: negative,"['أعقل', 'الناس', 'أعذرهم', 'للناس']",أعقل ناس أعذر ناس,"['أعقل', 'ناس', 'أعذر', 'ناس']"
النّفوس الكبيرة وحدها تعرف كيف تسامح.,Sentiment: positive,"['النفوس', 'الكبيرة', 'حدها', 'تعرف', 'تسامح']",نفوس كبير حد تعرف تسامح,"['نفوس', 'كبير', 'حد', 'تعرف', 'تسامح']"
التّسامح ينقّي قلوبنا إلى حدٍ لا يمكن لشيءٍ أن ينقّّيه مثله.,Sentiment: positive,"['التسامح', 'ينقي', 'قلوبنا', 'حد', 'يمكن', 'لشيا', 'ينقيه', 'مثله']",تسامح نقي قلوب حد مكن لشيا نقي مثل,"['تسامح', 'نقي', 'قلوب', 'حد', 'مكن', 'لشيا', 'نقي', 'مثل']"
من لا يستطيع التّسامح يهدم الجسر الذي يجب أن يعبره هو نفسه.,Sentiment: negative,"['يستطيع', 'التسامح', 'يهدم', 'الجسر', 'يجب', 'يعبره', 'نفسه']",ستطيع تسامح هدم جسر جب عبر نفس,"['ستطيع', 'تسامح', 'هدم', 'جسر', 'جب', 'عبر', 'نفس']"
من دون التّسامح لن يكون هنالك مستقبل.,Sentiment: negative,"['التسامح', 'يكون', 'مستقبل']",تسامح يكون مستقبل,"['تسامح', 'يكون', 'مستقبل']"
التّسامح هو العطر الذي تطبعه زهرة البنفسج على القدم التي سحقتها.,Sentiment: positive,"['التسامح', 'العطر', 'تطبعه', 'زهرة', 'البنفسج', 'القدم', 'سحقتها']",تسامح عطر طبع زهر بنفسج قدم سحق,"['تسامح', 'عطر', 'طبع', 'زهر', 'بنفسج', 'قدم', 'سحق']"
التّسامح هو أن تمنح الكراهيّة بداخلك غرفة صغيرة جداً في قلبك.,Sentiment: positive,"['التسامح', 'تمنح', 'الكراهية', 'بداخلك', 'غرفة', 'صغيرة', 'جدا', 'قلبك']",تسامح منح كراهي داخل غرف صغير جد قلب,"['تسامح', 'منح', 'كراهي', 'داخل', 'غرف', 'صغير', 'جد', 'قلب']"
إنّ التسامح هو الوحيد القادر على إدامة العلاقات بين الأشخاص، فإذا رأيت شخصين يحبّان بعضهما بشدة، فلا يعني ذلك أنهما لا يخطئان، ولكنّه يعني أنّ بينهما تسامحاً عظيماً طغى على أخطائهما.,Blameworthy Moral: ذُلّ,"['التسامح', 'الوحيد', 'القادر', 'إدامة', 'العلاقات', 'الأشخاص', 'رأيت', 'شخصين', 'يحبان', 'بعضهما', 'بشدة', 'يعني', 'أنهما', 'يخطئان', 'لكنه', 'يعني', 'بينهما', 'تسامحا', 'عظيما', 'طغى', 'أخطائهما']",تسامح وحيد قادر إدام علاق أشخاص رأي شخص حب بعض شد عني آن خطئ لكن عني بين تسامح عظيم طغى أخطائ,"['تسامح', 'وحيد', 'قادر', 'إدام', 'علاق', 'أشخاص', 'رأي', 'شخص', 'حب', 'بعض', 'شد', 'عني', 'آن', 'خطئ', 'لكن', 'عني', 'بين', 'تسامح', 'عظيم', 'طغى', 'أخطائ']"
أفضل نتيجة من التّربية هو التسامح.,Sentiment: positive,"['أفضل', 'نتيجة', 'التربية', 'التسامح']",أفضل نتيج تربي تسامح,"['أفضل', 'نتيج', 'تربي', 'تسامح']"
التسامح يعني أن تمنح لنفسك الفرصة لكي تبدأ بداية جديدة.,Sentiment: positive,"['التسامح', 'يعني', 'تمنح', 'لنفسك', 'الفرصة', 'تبدأ', 'بداية', 'جديدة']",تسامح عني منح نفس فرص بد بداي جديد,"['تسامح', 'عني', 'منح', 'نفس', 'فرص', 'بد', 'بداي', 'جديد']"
التسامح، والرّحمة من صفات الواثقين بأنفسهم، والذين لا يعرفون الخوف.,Good Moral: رَحْم,"['التسامح', 'الرحمة', 'صفات', 'الواثقين', 'بأنفسهم', 'يعرفون', 'الخوف']",تسامح رحم صف واثق أنفس عرف خوف,"['تسامح', 'رحم', 'صف', 'واثق', 'أنفس', 'عرف', 'خوف']"
التسامح هو شكل آخر من أشكال الحب.,Sentiment: positive,"['التسامح', 'شكل', 'آخر', 'أشكال', 'الحب']",تسامح شكل آخر إشكال حب,"['تسامح', 'شكل', 'آخر', 'إشكال', 'حب']"
من عاشر الناس بالمسامحة، زاد استمتاعه بهم.,Sentiment: positive,"['الناس', 'بالمسامحة', 'زاد', 'استمتاعه']",ناس مسامح زاد ٱستمتاع,"['ناس', 'مسامح', 'زاد', 'ٱستمتاع']"
التّسامح هو أن ترى نور الله في كلّ من حولك مهما يكن سلوكهم معك، وهو أقوى علاج على الإطلاق.,Sentiment: positive,"['التسامح', 'ترى', 'نور', 'الله', 'حولك', 'يكن', 'سلوكهم', 'معك', 'أقوى', 'علاج', 'الإطلاق']",تسامح ترى نور الله حول كن سلوك مع أقوى علاج إطلاق,"['تسامح', 'ترى', 'نور', 'الله', 'حول', 'كن', 'سلوك', 'مع', 'أقوى', 'علاج', 'إطلاق']"
