Citation,Manner,Cleaned_Citation,Stemmed_tokens,Tokenized_Citation,Stemmed_tokens2,Stemmed_tokenss
الصبر مفتاح أبواب اليأس، وقوة النفس، وقوة الجسد، فاصبر فلا ضيق إلّا بعده فرج.,Good Moral: صَبْر,"['الصبر', 'مفتاح', 'أبواب', 'اليأس', 'قوة', 'النفس', 'قوة', 'الجسد', 'فاصبر', 'ضيق', 'بعده', 'فرج']",صبر مفتاح أبواب إلياس قو نفس قو جسد أصبر ضيق بعد فرج,"['صبر', 'مفتاح', 'أبواب', 'إلياس', 'قو', 'نفس', 'قو', 'جسد', 'أصبر', 'ضيق', 'بعد', 'فرج']","['صَبْر', 'مِفْتاح', 'أَبْواب', 'إِلْياس', 'قو', 'نَفَس', 'قو', 'جَسَد', 'أَصْبَر', 'ضَيَّق', 'بُعْد', 'فَرَج']",صَبْر مِفْتاح أَبْواب إِلْياس قو نَفَس قو جَسَد أَصْبَر ضَيَّق بُعْد فَرَج
من لم يصبر على كلمة سمع كلمات.,Sentiment: negative,"['يصبر', 'كلمة', 'سمع', 'كلمات']",صبر كلم سمع كلم,"['صبر', 'كلم', 'سمع', 'كلم']","['صَبْر', 'كَلْم', 'سَمَّع', 'كَلْم']",صَبْر كَلْم سَمَّع كَلْم
الصّبر مفتاح الفرج، ومرضاة الرّب.,Good Moral: صَبْر,"['الصبر', 'مفتاح', 'الفرج', 'مرضاة', 'الرب']",صبر مفتاح فرج مرض رب,"['صبر', 'مفتاح', 'فرج', 'مرض', 'رب']","['صَبْر', 'مِفْتاح', 'فَرَج', 'مَرَض', 'رَبّ']",صَبْر مِفْتاح فَرَج مَرَض رَبّ
كلّنا نكره الموت، وألم الجراح، ولكنّا نتفاضل بالصّبر.,Good Moral: صَبْر,"['كلنا', 'نكره', 'الموت', 'ألم', 'الجراح', 'لكنا', 'نتفاضل', 'بالصبر']",كل نكر موت ألم جراح لك نتفاضل صبر,"['كل', 'نكر', 'موت', 'ألم', 'جراح', 'لك', 'نتفاضل', 'صبر']","['كُلّ', 'نُكْر', 'مَوْت', 'أَلِم', 'جَرّاح', 'لَكّ', 'نتفاضل', 'صَبْر']",كُلّ نُكْر مَوْت أَلِم جَرّاح لَكّ نتفاضل صَبْر
حين يشتدّ الوجع، ويتصاعد الألم، ليس هناك علاج فوريّ، وفاعل مثل وصفة الصّبر والصّلاة لتهدأ النّفس، وتعود إلى طبيعتها.,Good Moral: صَبْر,"['يشتد', 'الوجع', 'يتصاعد', 'الألم', 'علاج', 'فوري', 'فاعل', 'صفة', 'الصبر', 'الصلاة', 'لتهدأ', 'النفس', 'تعود', 'طبيعتها']",شتد وجع تصاعد ألم علاج فور فاعل صف صبر صلا هد نفس تعود طبيع,"['شتد', 'وجع', 'تصاعد', 'ألم', 'علاج', 'فور', 'فاعل', 'صف', 'صبر', 'صلا', 'هد', 'نفس', 'تعود', 'طبيع']","['شتد', 'وَجِع', 'تَصاعَد', 'أَلِم', 'عِلاج', 'فَوْرَ', 'فاعِل', 'صَفّ', 'صَبْر', 'صلا', 'هَدّ', 'نَفَس', 'تَعَوَّد', 'طبيع']",شتد وَجِع تَصاعَد أَلِم عِلاج فَوْرَ فاعِل صَفّ صَبْر صلا هَدّ نَفَس تَعَوَّد طبيع
من أجمع على الصّبر في الأمور فقد حوى الخير، والتمس معاقل البرّ وكمال الأجور.,Good Moral: البر,"['الصبر', 'الأمور', 'فقد', 'حوى', 'الخير', 'التمس', 'معاقل', 'البر', 'كمال', 'الأجور']",صبر أمور فقد حوى خير ٱلتمس معاقل بر كمال أجور,"['صبر', 'أمور', 'فقد', 'حوى', 'خير', 'ٱلتمس', 'معاقل', 'بر', 'كمال', 'أجور']","['صَبْر', 'أُمُور', 'فَقْد', 'حَوَى', 'خَيْر', 'ٱِلْتَمَس', 'مَعاقِل', 'بِرّ', 'كَمال', 'أُجُور']",صَبْر أُمُور فَقْد حَوَى خَيْر ٱِلْتَمَس مَعاقِل بِرّ كَمال أُجُور
الصّبر عند المصيبة يسمى إيماناً.,Good Moral: صَبْر,"['الصبر', 'المصيبة', 'يسمى', 'إيمانا']",صبر مصيب سمي أيم,"['صبر', 'مصيب', 'سمي', 'أيم']","['صَبْر', 'مصيب', 'سَمّ', 'أَيِّم']",صَبْر مصيب سَمّ أَيِّم
إنَّ الصَّبرَ أقسامٌ، ولكلِّ قسمٍ منها اسمٌ خاصٌّ فيه: فالصَّبرُ عن شهوة المعدةِ قناعةٌ، وضِدُّهُ الشَّرَهُ، والصبرُ عن شهوة الجسدِ عِفَّةٌ، وضِدُّه الشَّبَقُ، والصبر عندَ الغضبِ حِلْمٌ، وضِدّه الحمقُ، والصبر عن فُضُول العيشِ زهدٌ، وضِدّه الطَّمعُ.,Good Moral: صَبْر,"['الصبر', 'أقسام', 'لكل', 'قسم', 'اسم', 'خاص', 'فالصبر', 'شهوة', 'المعدة', 'قناعة', 'ضده', 'الشره', 'الصبر', 'شهوة', 'الجسد', 'عفة', 'ضده', 'الشبق', 'الصبر', 'الغضب', 'حلم', 'ضده', 'الحمق', 'الصبر', 'فضول', 'العيش', 'زهد', 'ضده', 'الطمع']",صبر أقسام كل قسم ٱسم خاص صبر شه معد قناع ضد شر صبر شه جسد عف ضد شبق صبر غضب حلم ضد حمق صبر فضول عيش زهد ضد طمع,"['صبر', 'أقسام', 'كل', 'قسم', 'ٱسم', 'خاص', 'صبر', 'شه', 'معد', 'قناع', 'ضد', 'شر', 'صبر', 'شه', 'جسد', 'عف', 'ضد', 'شبق', 'صبر', 'غضب', 'حلم', 'ضد', 'حمق', 'صبر', 'فضول', 'عيش', 'زهد', 'ضد', 'طمع']","['صَبْر', 'أَقْسام', 'كُلّ', 'قِسْم', 'ٱِسْم', 'خاصّ', 'صَبْر', 'شه', 'مَعَد', 'قِناع', 'ضِدّ', 'شَرّ', 'صَبْر', 'شه', 'جَسَد', 'عَفّ', 'ضِدّ', 'شَبِق', 'صَبْر', 'غَضِب', 'حُلُم', 'ضِدّ', 'حُمُق', 'صَبْر', 'فُضُول', 'عَيْش', 'زَهُد', 'ضِدّ', 'طَمُع']",صَبْر أَقْسام كُلّ قِسْم ٱِسْم خاصّ صَبْر شه مَعَد قِناع ضِدّ شَرّ صَبْر شه جَسَد عَفّ ضِدّ شَبِق صَبْر غَضِب حُلُم ضِدّ حُمُق صَبْر فُضُول عَيْش زَهُد ضِدّ طَمُع
الصّبر نصف الإيمان، والصّوم نصف الصّبر.,Good Moral: صَبْر,"['الصبر', 'نصف', 'الإيمان', 'الصوم', 'نصف', 'الصبر']",صبر نصف أيم صوم نصف صبر,"['صبر', 'نصف', 'أيم', 'صوم', 'نصف', 'صبر']","['صَبْر', 'نَصَف', 'أَيِّم', 'صُوَّم', 'نَصَف', 'صَبْر']",صَبْر نَصَف أَيِّم صُوَّم نَصَف صَبْر
بُنِي الإسلامُ على أربعِ دعائم: اليقينُ، والصبرُ، والجهادُ، والعدلُ.,Good Moral: صَبْر,"['بني', 'الإسلام', 'دعائم', 'اليقين', 'الصبر', 'الجهاد', 'العدل']",بن إسلام دعائم أليق صبر جهاد عدل,"['بن', 'إسلام', 'دعائم', 'أليق', 'صبر', 'جهاد', 'عدل']","['بُنّ', 'إِسْلام', 'دَعائِم', 'أَلْيَق', 'صَبْر', 'جِهاد', 'عَدْل']",بُنّ إِسْلام دَعائِم أَلْيَق صَبْر جِهاد عَدْل
الصّبر عند حفظ السّر يسمّى كتماناً.,Good Moral: صَبْر,"['الصبر', 'حفظ', 'السر', 'يسمى', 'كتمانا']",صبر حفظ سر سمي كتم,"['صبر', 'حفظ', 'سر', 'سمي', 'كتم']","['صَبْر', 'حِفْظ', 'سُرّ', 'سَمّ', 'كَتَم']",صَبْر حِفْظ سُرّ سَمّ كَتَم
أحبّ الخلق إلى الله المتواضعون.,Sentiment: positive,"['أحب', 'الخلق', 'الله', 'المتواضعون']",أحب خلق الله متواضع,"['أحب', 'خلق', 'الله', 'متواضع']","['أَحَبّ', 'خَلَّق', 'اللّٰه', 'مُتَواضِع']",أَحَبّ خَلَّق اللّٰه مُتَواضِع
إنّه الغرور ما يمكنه أن يحوّل الملائكة الى شياطين، وإنّه التّواضع الّذي يمكنه أن يحوّل الرّجال إلى ملائكة.,Good Moral: تَواضُع,"['الغرور', 'يمكنه', 'يحول', 'الملائكة', 'شياطين', 'التواضع', 'يمكنه', 'يحول', 'الرجال', 'ملائكة']",غرور مكن حول ملائك شياطين تواضع مكن حول رجال ملائك,"['غرور', 'مكن', 'حول', 'ملائك', 'شياطين', 'تواضع', 'مكن', 'حول', 'رجال', 'ملائك']","['غُرُور', 'مَكَّن', 'حَوْلَ', 'مِلائ', 'شَياطِين', 'تَواضَع', 'مَكَّن', 'حَوْلَ', 'رِجال', 'مِلائ']",غُرُور مَكَّن حَوْلَ مِلائ شَياطِين تَواضَع مَكَّن حَوْلَ رِجال مِلائ
ليس للرّجل سوى مجد واحد حقيقيّ هو التّواضع.,Good Moral: تَواضُع,"['للرجل', 'مجد', 'احد', 'حقيقي', 'التواضع']",رجل مجد أحد حقيق تواضع,"['رجل', 'مجد', 'أحد', 'حقيق', 'تواضع']","['رَجِل', 'مَجَد', 'أَحَّد', 'حَقِيق', 'تَواضَع']",رَجِل مَجَد أَحَّد حَقِيق تَواضَع
لا يتكبّر إلاّ كلّ وضيع، ولا يتواضع إلاّ كلّ رفيع.,Sentiment: positive,"['يتكبر', 'ضيع', 'يتواضع', 'رفيع']",تكبر ضيع تواضع رفيع,"['تكبر', 'ضيع', 'تواضع', 'رفيع']","['تَكَبُّر', 'ضَيْع', 'تَواضَع', 'رَفِيع']",تَكَبُّر ضَيْع تَواضَع رَفِيع
لا تدع آراء الآخرين تخيفك، فوحده التّواضع يقين لذلك أركب المخاطر، وقم بما تريد أن تقوم بها فعلاً.,Good Moral: تَواضُع,"['تدع', 'آراا', 'الآخرين', 'تخيفك', 'فوحده', 'التواضع', 'يقين', 'لذلك', 'أركب', 'المخاطر', 'قم', 'تريد', 'تقوم', 'فعلا']",دع آراا آخر خيف وحد تواضع يقين لذلك أركب مخاطر قم ريد قوم فعل,"['دع', 'آراا', 'آخر', 'خيف', 'وحد', 'تواضع', 'يقين', 'لذلك', 'أركب', 'مخاطر', 'قم', 'ريد', 'قوم', 'فعل']","['دَعّ', 'آراا', 'آخَر', 'خيف', 'وَحَّد', 'تَواضَع', 'يَقِين', 'لِذٰلِكَ', 'أَرْكَب', 'مُخاطِر', 'قَمّ', 'ريد', 'قَوْم', 'فِعْل']",دَعّ آراا آخَر خيف وَحَّد تَواضَع يَقِين لِذٰلِكَ أَرْكَب مُخاطِر قَمّ ريد قَوْم فِعْل
تواضَع، فالأمور التي تعرفها تعادل في حجمها حفنة الرمل التي في يدك، أما الأمور التي لا تعرفها تعادل في حجمها حجم الكون.,Sentiment: neutral,"['تواضع', 'فالأمور', 'تعرفها', 'تعادل', 'حجمها', 'حفنة', 'الرمل', 'يدك', 'الأمور', 'تعرفها', 'تعادل', 'حجمها', 'حجم', 'الكون']",تواضع أمور تعرف تعادل حجم حفن رمل يد أمور تعرف تعادل حجم حجم كون,"['تواضع', 'أمور', 'تعرف', 'تعادل', 'حجم', 'حفن', 'رمل', 'يد', 'أمور', 'تعرف', 'تعادل', 'حجم', 'حجم', 'كون']","['تَواضَع', 'أُمُور', 'تَعَرُّف', 'تَعادُل', 'حَجْم', 'حِف', 'رَمْل', 'يَد', 'أُمُور', 'تَعَرُّف', 'تَعادُل', 'حَجْم', 'حَجْم', 'كَوْن']",تَواضَع أُمُور تَعَرُّف تَعادُل حَجْم حِف رَمْل يَد أُمُور تَعَرُّف تَعادُل حَجْم حَجْم كَوْن
أشدّ العلماء تواضعاً أكثرهم علماً، كما أنّ المكان المنخفض أكثر البقاع ماءً.,Sentiment: neutral,"['أشد', 'العلماا', 'تواضعا', 'أكثرهم', 'علما', 'المكان', 'المنخفض', 'البقاع', 'ماا']",أشد العلماا تواضع أكثر علم مكان منخفض بقاع ماا,"['أشد', 'العلماا', 'تواضع', 'أكثر', 'علم', 'مكان', 'منخفض', 'بقاع', 'ماا']","['أَشُدّ', 'العلماا', 'تَواضَع', 'أَكْثَر', 'عِلْم', 'مَكان', 'مُنْخَفَض', 'بِقاع', 'ماا']",أَشُدّ العلماا تَواضَع أَكْثَر عِلْم مَكان مُنْخَفَض بِقاع ماا
كلّما كبرت السنبلة انحنت، وكلّما تعمّق العالم تواضع.,Sentiment: positive,"['كبرت', 'السنبلة', 'انحنت', 'تعمق', 'العالم', 'تواضع']",كبر سنبل ٱنحن تعمق عالم تواضع,"['كبر', 'سنبل', 'ٱنحن', 'تعمق', 'عالم', 'تواضع']","['كُبْر', 'سُنْبُل', 'نْحَن', 'تَعَمَّق', 'عالَم', 'تَواضَع']",كُبْر سُنْبُل نْحَن تَعَمَّق عالَم تَواضَع
أوَّلُ التّواضُعِ ألاّ تَشْهَدَ نَفْسَكَ مُتَواضِعاً، فالمُخْلِصُون يَظُنّونَ أنَّ قُلُوبَهُم فِيها شَيءٌ مِّن العُجْب.,Good Moral: تَواضُع,"['التواضع', 'تشهد', 'نفسك', 'متواضعا', 'فالمخلصون', 'يظنون', 'قلوبهم', 'شيا', 'العجب']",تواضع شهد نفس متواضع مخلص ظن قلوب شي عجب,"['تواضع', 'شهد', 'نفس', 'متواضع', 'مخلص', 'ظن', 'قلوب', 'شي', 'عجب']","['تَواضَع', 'شَهِد', 'نَفَس', 'مُتَواضِع', 'مُخَلِّص', 'ظَنّ', 'قُلُوب', 'شَيّ', 'عَجَب']",تَواضَع شَهِد نَفَس مُتَواضِع مُخَلِّص ظَنّ قُلُوب شَيّ عَجَب
أنا لا أعرف الحقيقة المجرّدة، ولكنّي أركع متواضعاً أمام جهلي، وفي هذا فخري، وأجري.,Sentiment: negative,"['أعرف', 'الحقيقة', 'المجردة', 'لكني', 'أركع', 'متواضعا', 'جهلي', 'فخري', 'أجري']",أعرف حقيق مجرد لك أركع متواضع جهل فخر أجر,"['أعرف', 'حقيق', 'مجرد', 'لك', 'أركع', 'متواضع', 'جهل', 'فخر', 'أجر']","['أَعْرَف', 'حَقِيق', 'مُجَرَّد', 'لَكّ', 'أَرْكَع', 'مُتَواضِع', 'جَهَّل', 'فَخِر', 'أُجَر']",أَعْرَف حَقِيق مُجَرَّد لَكّ أَرْكَع مُتَواضِع جَهَّل فَخِر أُجَر
ندنو من العظمة بقدر ما ندنو من التواضع.,Good Moral: تَواضُع,"['ندنو', 'العظمة', 'بقدر', 'ندنو', 'التواضع']",دنو عظم قدر دنو تواضع,"['دنو', 'عظم', 'قدر', 'دنو', 'تواضع']","['دُنُوّ', 'عَظَّم', 'قَدَر', 'دُنُوّ', 'تَواضَع']",دُنُوّ عَظَّم قَدَر دُنُوّ تَواضَع
الّتواضع اجتلاب المجد، واكتساب الودّ.,Good Moral: تَواضُع,"['التواضع', 'اجتلاب', 'المجد', 'اكتساب', 'الود']",تواضع اجتلاب مجد ٱكتساب ود,"['تواضع', 'اجتلاب', 'مجد', 'ٱكتساب', 'ود']","['تَواضَع', 'اجتلاب', 'مَجَد', 'ٱِكْتِساب', 'وِدّ']",تَواضَع اجتلاب مَجَد ٱِكْتِساب وِدّ
التّواضع بالنّسبة لمحدودي القدرات لا يعدو كونه صدقاً، أمّا بالنّسبة لذوي المهارات العظيمة فهو رياء.,Good Moral: تَواضُع,"['التواضع', 'بالنسبة', 'لمحدودي', 'القدرات', 'يعدو', 'كونه', 'بالنسبة', 'لذوي', 'المهارات', 'العظيمة', 'فهو', 'رياا']",تواضع نسب محدود قدر عدو كون نسب ذوى مهار عظيم هو رياا,"['تواضع', 'نسب', 'محدود', 'قدر', 'عدو', 'كون', 'نسب', 'ذوى', 'مهار', 'عظيم', 'هو', 'رياا']","['تَواضَع', 'نَسَب', 'مَحْدُود', 'قَدَر', 'عَدْو', 'كَوْن', 'نَسَب', 'ذَوِي', 'مهار', 'عَظِيم', 'هُو', 'رياا']",تَواضَع نَسَب مَحْدُود قَدَر عَدْو كَوْن نَسَب ذَوِي مهار عَظِيم هُو رياا
من يتكلم دون تواضع، سيجد صعوبة في جعل كلماته مسموعة.,Sentiment: negative,"['يتكلم', 'تواضع', 'سيجد', 'صعوبة', 'كلماته', 'مسموعة']",تكلم تواضع جد صعوب كلم مسموع,"['تكلم', 'تواضع', 'جد', 'صعوب', 'كلم', 'مسموع']","['تَكَلُّم', 'تَواضَع', 'جَدّ', 'صعوب', 'كَلْم', 'مَسْمُوع']",تَكَلُّم تَواضَع جَدّ صعوب كَلْم مَسْمُوع
أفضل الّناس من تواضع عن رفعة، وعفا عن قدرة، وأنصف عن قوة.,Good Moral: عَفّ,"['أفضل', 'الناس', 'تواضع', 'رفعة', 'عفا', 'قدرة', 'أنصف', 'قوة']",أفضل ناس تواضع رفع عف قدر أنصف قو,"['أفضل', 'ناس', 'تواضع', 'رفع', 'عف', 'قدر', 'أنصف', 'قو']","['أَفْضَل', 'ناس', 'تَواضَع', 'رَفَع', 'عَفّ', 'قَدَر', 'أَنْصَف', 'قو']",أَفْضَل ناس تَواضَع رَفَع عَفّ قَدَر أَنْصَف قو
رأس التّواضع أن تضع نفسك عند من دونك في نعمة الدنيا، حتّى تُعلّمه أنّه ليس لك بدنياك عليه فضل، وأن ترفع نفسك عمّن هو فوقك في الدّنيا، حتّى تُعلّمه أنّه ليس له بدنياه عليك فضل.,Good Moral: تَواضُع,"['رأس', 'التواضع', 'تضع', 'نفسك', 'نعمة', 'الدنيا', 'تعلمه', 'أنه', 'بدنياك', 'فضل', 'ترفع', 'نفسك', 'عمن', 'فوقك', 'الدنيا', 'تعلمه', 'أنه', 'بدنياه', 'فضل']",راس تواضع ضع نفس نعم دنيا تعلم آن بدني فضل ترفع نفس عم فوق دنيا تعلم آن بدني فضل,"['راس', 'تواضع', 'ضع', 'نفس', 'نعم', 'دنيا', 'تعلم', 'آن', 'بدني', 'فضل', 'ترفع', 'نفس', 'عم', 'فوق', 'دنيا', 'تعلم', 'آن', 'بدني', 'فضل']","['راس', 'تَواضَع', 'ضع', 'نَفَس', 'نَعِم', 'دَنَّي', 'تَعَلُّم', 'أَن', 'بَدّ', 'فَضَّل', 'تَرَفُّع', 'نَفَس', 'عَمّ', 'فَوْقَ', 'دَنَّي', 'تَعَلُّم', 'أَن', 'بَدّ', 'فَضَّل']",راس تَواضَع ضع نَفَس نَعِم دَنَّي تَعَلُّم أَن بَدّ فَضَّل تَرَفُّع نَفَس عَمّ فَوْقَ دَنَّي تَعَلُّم أَن بَدّ فَضَّل
دائماً إملك التّواضع، لتتعلّم من كلّ من هم حولك.,Good Moral: تَواضُع,"['دائما', 'إملك', 'التواضع', 'لتتعلم', 'حولك']",دائم أمل تواضع تعلم حول,"['دائم', 'أمل', 'تواضع', 'تعلم', 'حول']","['دائِم', 'أَمَّل', 'تَواضَع', 'تَعَلُّم', 'حَوْلَ']",دائِم أَمَّل تَواضَع تَعَلُّم حَوْلَ
الشّخص المتواضع هو الّذي يمتلك الكثير ليتواضع به.,Sentiment: positive,"['الشخص', 'المتواضع', 'يمتلك', 'الكثير', 'ليتواضع']",شخص متواضع متل كثير تواضع,"['شخص', 'متواضع', 'متل', 'كثير', 'تواضع']","['شَخْص', 'مُتَواضِع', 'متل', 'كَثِير', 'تَواضَع']",شَخْص مُتَواضِع متل كَثِير تَواضَع
تقترب من العظمة بقدر ما تقترب من التواضع.,Good Moral: تَواضُع,"['تقترب', 'العظمة', 'بقدر', 'تقترب', 'التواضع']",قترب عظم قدر قترب تواضع,"['قترب', 'عظم', 'قدر', 'قترب', 'تواضع']","['قترب', 'عَظَّم', 'قَدَر', 'قترب', 'تَواضَع']",قترب عَظَّم قَدَر قترب تَواضَع
إنسانٌ ناجحٌ مع تواضع، وإخلاص سينتج عنه نجاح في الدّنيا، والآخرة، أمّا إنسان ناجح، ومغرور، ويحبّ الشّهرة ستكون نهايته الخسارة في الدّنيا والآخرة.,Sentiment: positive,"['إنسان', 'ناجح', 'تواضع', 'إخلاص', 'سينتج', 'عنه', 'نجاح', 'الدنيا', 'الآخرة', 'إنسان', 'ناجح', 'مغرور', 'يحب', 'الشهرة', 'ستكون', 'نهايته', 'الخسارة', 'الدنيا', 'الآخرة']",أنسأ ناجح تواضع إخلاص نتج عن نجاح دنيا آخر أنسأ ناجح مغرور حب شهر كون نهاي خسار دنيا آخر,"['أنسأ', 'ناجح', 'تواضع', 'إخلاص', 'نتج', 'عن', 'نجاح', 'دنيا', 'آخر', 'أنسأ', 'ناجح', 'مغرور', 'حب', 'شهر', 'كون', 'نهاي', 'خسار', 'دنيا', 'آخر']","['آنَس', 'ناجِح', 'تَواضَع', 'إِخْلاص', 'نَتَج', 'عَن', 'نَجاح', 'دَنَّي', 'آخَر', 'آنَس', 'ناجِح', 'مَغْرُور', 'حُبّ', 'شَهَّر', 'كَوْن', 'نُها', 'خسار', 'دَنَّي', 'آخَر']",آنَس ناجِح تَواضَع إِخْلاص نَتَج عَن نَجاح دَنَّي آخَر آنَس ناجِح مَغْرُور حُبّ شَهَّر كَوْن نُها خسار دَنَّي آخَر
الاستثمار في عالم من الفرادة، والفخامة لا يدخله إلاّ من لا تعرف أحلامه التّواضع.,Good Moral: تَواضُع,"['الاستثمار', 'عالم', 'الفرادة', 'الفخامة', 'يدخله', 'تعرف', 'أحلامه', 'التواضع']",ٱستثمار عالم الفرادة فخام دخل تعرف أحلام تواضع,"['ٱستثمار', 'عالم', 'الفرادة', 'فخام', 'دخل', 'تعرف', 'أحلام', 'تواضع']","['ٱِسْتِثْمار', 'عالَم', 'الفرادة', 'خام', 'دَخْل', 'تَعَرُّف', 'أَحْلام', 'تَواضَع']",ٱِسْتِثْمار عالَم الفرادة خام دَخْل تَعَرُّف أَحْلام تَواضَع
علامة التّواضع: أن تنقاد للحقّ، وأن تخضع له، وأن تقبله ممّن قاله ولو كان صغيراً.,Good Moral: تَواضُع,"['علامة', 'التواضع', 'تنقاد', 'للحق', 'تخضع', 'تقبله', 'قاله', 'صغيرا']",علام تواضع نقاد لحق خضع تقبل قال صغير,"['علام', 'تواضع', 'نقاد', 'لحق', 'خضع', 'تقبل', 'قال', 'صغير']","['عَلّام', 'تَواضَع', 'نُقّاد', 'لَحَق', 'خَضَع', 'تَقَبَّل', 'قال', 'صَغِير']",عَلّام تَواضَع نُقّاد لَحَق خَضَع تَقَبَّل قال صَغِير
ثق بأنّ الصّوت الهادئ أقوى من الصّراخ، وأنّ التّهذيب يهزم الوقاحة، وأنّ التّواضع يحطّم الغرور.,Good Moral: تَواضُع,"['ثق', 'بأن', 'الصوت', 'الهادئ', 'أقوى', 'الصراخ', 'التهذيب', 'يهزم', 'الوقاحة', 'التواضع', 'يحطم', 'الغرور']",ثق بأن صوت هادئ أقوى صراخ تهذيب هزم وقاح تواضع حطم غرور,"['ثق', 'بأن', 'صوت', 'هادئ', 'أقوى', 'صراخ', 'تهذيب', 'هزم', 'وقاح', 'تواضع', 'حطم', 'غرور']","['ثق', 'بِأَنَّ', 'صَوْت', 'هادِئ', 'أَقْوَى', 'صُراخ', 'تَهْذِيب', 'هَزْم', 'وَقاح', 'تَواضَع', 'حَطَم', 'غُرُور']",ثق بِأَنَّ صَوْت هادِئ أَقْوَى صُراخ تَهْذِيب هَزْم وَقاح تَواضَع حَطَم غُرُور
ينبغي أن يكون التّواضع فضيلة أولئك الّذين تعوزهم سائر الفضائل.,Good Moral: تَواضُع,"['ينبغي', 'يكون', 'التواضع', 'فضيلة', 'تعوزهم', 'سائر', 'الفضائل']",نبغى يكون تواضع فضيل عوز سائر فضائل,"['نبغى', 'يكون', 'تواضع', 'فضيل', 'عوز', 'سائر', 'فضائل']","['نَبْغ', 'يَكُون', 'تَواضَع', 'فَضِيل', 'عَوَز', 'سائِر', 'فَضائِل']",نَبْغ يَكُون تَواضَع فَضِيل عَوَز سائِر فَضائِل
اسمان متضّادان بمعنى واحد: التّواضع، والشّرف.,Good Moral: تَواضُع,"['اسمان', 'متضادان', 'بمعنى', 'احد', 'التواضع', 'الشرف']",ٱسم متضاد معني أحد تواضع شرف,"['ٱسم', 'متضاد', 'معني', 'أحد', 'تواضع', 'شرف']","['ٱِسْم', 'مُتَضادّ', 'مَعْنِيّ', 'أَحَّد', 'تَواضَع', 'شَرُف']",ٱِسْم مُتَضادّ مَعْنِيّ أَحَّد تَواضَع شَرُف
يموت الإنسان حينما يفقد قدرته على التّمنّي، لا حينما يفقد قدرته على التّنفس.,Sentiment: negative,"['يموت', 'الإنسان', 'حينما', 'يفقد', 'قدرته', 'التمني', 'حينما', 'يفقد', 'قدرته', 'التنفس']",موت إنسان حينما فقد قدر ٱلتم حينما فقد قدر تنفس,"['موت', 'إنسان', 'حينما', 'فقد', 'قدر', 'ٱلتم', 'حينما', 'فقد', 'قدر', 'تنفس']","['مَوْت', 'أَنْسَأ', 'حِينَما', 'فَقْد', 'قَدَر', 'أُل', 'حِينَما', 'فَقْد', 'قَدَر', 'تَنَفُّس']",مَوْت أَنْسَأ حِينَما فَقْد قَدَر أُل حِينَما فَقْد قَدَر تَنَفُّس
التّشاؤم يُفضي إلى الضعف، بينما التّفاؤل يقودك إلى القوّة.,Good Moral: تَفاؤُل,"['التشاام', 'يفضي', 'الضعف', 'بينما', 'التفاال', 'يقودك', 'القوة']",التشاام فضي ضعف بينما التفاال قود ألق,"['التشاام', 'فضي', 'ضعف', 'بينما', 'التفاال', 'قود', 'ألق']","['التشاام', 'فَضّ', 'ضِعْف', 'بَيْنَما', 'التفاال', 'قَوَد', 'أَلَق']",التشاام فَضّ ضِعْف بَيْنَما التفاال قَوَد أَلَق
التّفاؤل هو الإيمان الّذي يؤدّي إلى الإنجاز.,Good Moral: تَفاؤُل,"['التفاال', 'الإيمان', 'يادي', 'الإنجاز']",التفاال أيم يادي إنجاز,"['التفاال', 'أيم', 'يادي', 'إنجاز']","['التفاال', 'أَيِّم', 'يادي', 'إِنْجاز']",التفاال أَيِّم يادي إِنْجاز
لا شيء يمكن أن يتمّ دون الأمل، والثّقة.,Sentiment: negative,"['شيا', 'يمكن', 'يتم', 'الأمل', 'الثقة']",شي مكن يتم أمل ثق,"['شي', 'مكن', 'يتم', 'أمل', 'ثق']","['شَيّ', 'مَكَّن', 'يَتُم', 'أَمَّل', 'ثق']",شَيّ مَكَّن يَتُم أَمَّل ثق
إذا نظرت بعين التّفاؤل إلى الوجود رأيت الجمال شائعاً في كلّ ذرّاته، حتّى القبح تجد فيه جمالاً.,Good Moral: تَفاؤُل,"['نظرت', 'بعين', 'التفاال', 'الوجود', 'رأيت', 'الجمال', 'شائعا', 'ذراته', 'القبح', 'تجد', 'جمالا']",نظر عين التفاال وجود رأي جمال شائع ذر قبح جد جمال,"['نظر', 'عين', 'التفاال', 'وجود', 'رأي', 'جمال', 'شائع', 'ذر', 'قبح', 'جد', 'جمال']","['نَظَر', 'عَيْن', 'التفاال', 'وُجُود', 'راي', 'جَمال', 'شائِع', 'ذَرّ', 'قَبَّح', 'جَدّ', 'جَمال']",نَظَر عَيْن التفاال وُجُود راي جَمال شائِع ذَرّ قَبَّح جَدّ جَمال
